Timestamp: 1542888745.948918104, Depth: 388.33078003
Timestamp: 1542888745.961906910, Depth: 388.42150879
Timestamp: 1542888745.974939108, Depth: 388.27029419
Timestamp: 1542888745.987826109, Depth: 388.30053711
Timestamp: 1542888746.000701904, Depth: 388.24005127
Timestamp: 1542888746.013494968, Depth: 388.27029419
Timestamp: 1542888746.026506901, Depth: 388.27029419
Timestamp: 1542888746.039359093, Depth: 388.30053711
Timestamp: 1542888746.052232981, Depth: 388.24005127
Timestamp: 1542888746.065332890, Depth: 388.24005127
Timestamp: 1542888746.078398943, Depth: 388.39126587
Timestamp: 1542888746.091953993, Depth: 388.27029419
Timestamp: 1542888746.105197906, Depth: 388.27029419
Timestamp: 1542888746.118355036, Depth: 388.30053711
Timestamp: 1542888746.131619930, Depth: 388.27029419
Timestamp: 1542888746.144516945, Depth: 388.39126587
Timestamp: 1542888746.157541037, Depth: 388.27029419
Timestamp: 1542888746.170483112, Depth: 388.30053711
Timestamp: 1542888746.183535099, Depth: 388.30053711
Timestamp: 1542888746.196573019, Depth: 388.36102295
Timestamp: 1542888746.209563017, Depth: 388.30053711
Timestamp: 1542888746.222523928, Depth: 388.36102295
Timestamp: 1542888746.235583067, Depth: 388.30053711
Timestamp: 1542888746.248997927, Depth: 388.33078003
Timestamp: 1542888746.262103081, Depth: 388.27029419
Timestamp: 1542888746.275473118, Depth: 388.30053711
Timestamp: 1542888746.288695097, Depth: 388.36102295
Timestamp: 1542888746.302078962, Depth: 388.30053711
Timestamp: 1542888746.315295935, Depth: 388.30053711
Timestamp: 1542888746.328660965, Depth: 388.33078003
Timestamp: 1542888746.342052937, Depth: 388.36102295
Timestamp: 1542888746.355134010, Depth: 388.33078003
Timestamp: 1542888746.368359089, Depth: 388.20980835
Timestamp: 1542888746.381365061, Depth: 388.24005127
Timestamp: 1542888746.394330025, Depth: 388.33078003
Timestamp: 1542888746.407202959, Depth: 388.20980835
Timestamp: 1542888746.420089960, Depth: 388.33078003
Timestamp: 1542888746.433625937, Depth: 388.27029419
Timestamp: 1542888746.446772337, Depth: 388.30053711
Timestamp: 1542888746.459806919, Depth: 388.30053711
Timestamp: 1542888746.473046064, Depth: 388.27029419
Timestamp: 1542888746.486409903, Depth: 388.24005127
Timestamp: 1542888746.499418974, Depth: 388.39126587
Timestamp: 1542888746.512504101, Depth: 388.30053711
Timestamp: 1542888746.525615931, Depth: 388.30053711
Timestamp: 1542888746.538925886, Depth: 388.36102295
Timestamp: 1542888746.552046061, Depth: 388.24005127
Timestamp: 1542888746.565327883, Depth: 388.30053711
Timestamp: 1542888746.578291893, Depth: 388.33078003
Timestamp: 1542888746.591340065, Depth: 388.30053711
Timestamp: 1542888746.604496956, Depth: 388.24005127
Timestamp: 1542888746.617487907, Depth: 388.27029419
Timestamp: 1542888746.630425930, Depth: 388.27029419
Timestamp: 1542888746.643660069, Depth: 388.20980835
Timestamp: 1542888746.656638861, Depth: 388.33078003
Timestamp: 1542888746.669872046, Depth: 388.33078003
Timestamp: 1542888746.683056116, Depth: 388.30053711
Timestamp: 1542888746.696067095, Depth: 388.36102295
Timestamp: 1542888746.709041119, Depth: 388.27029419
Timestamp: 1542888746.722445011, Depth: 388.33078003
Timestamp: 1542888746.736037016, Depth: 388.36102295
Timestamp: 1542888746.749089003, Depth: 388.24005127
Timestamp: 1542888746.762021065, Depth: 388.33078003
Timestamp: 1542888746.774985075, Depth: 388.27029419
Timestamp: 1542888746.787938118, Depth: 388.36102295
Timestamp: 1542888746.800853014, Depth: 388.24005127
Timestamp: 1542888746.813884974, Depth: 388.30053711
Timestamp: 1542888746.826896906, Depth: 388.27029419
Timestamp: 1542888746.839890957, Depth: 388.27029419
